Qualifier,63,6305,Practice Match,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,false,false,false,47,|Bad hatch intake.|
Qualifier,64,2839,Practice Match,2,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,false,false,false,66,|Very good hatch & ball intake, just needs a bit more skillful driving and maybe speed to get themselves a solo rocket.|
Qualifier,65,7870,Practice Match,1,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,false,false,false,50,|Literal counter-defense bot. That's it.|
Qualifier,66,3482,Practice Match,1,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,false,false,true,20,|They got off HAB in sandstorm, then broke.|
Qualifier,68,5274,Practice Match,2,0,0,1,0,1,0,3,1,2,0,3,1,2,0,0,false,false,true,58,|OK with balls. |
Qualifier,70,6358,Practice Match,2,0,0,1,0,1,0,3,1,2,0,3,1,0,0,0,false,false,true,21,|stuck on cargo |
Qualifier,71,2839,Practice Match,2,0,0,1,0,1,0,3,1,2,0,2,1,1,0,0,false,false,true,54,||
Qualifier,72,1056,Practice Match,2,0,0,1,0,1,0,3,1,3,0,2,1,2,0,0,false,false,true,53,||
Qualifier,73,4904,Practice Match,1,0,0,1,0,1,0,1,1,1,2,2,0,0,0,0,false,false,true,64,|Ball& hatch intake is OK. |
Qualifier,74,1678,Practice Match,1,0,0,1,0,1,0,4,6,1,0,5,0,1,0,0,false,false,true,77,|As someone probably already said, really good everything. The odd part was that they weren't able to get to HAB 3.|
Qualifier,75,5496,Practice Match,1,1,0,1,0,1,0,2,1,2,1,1,1,1,0,0,false,false,true,49,|Slow and sometimes drops things. Don't know the extent of their reach.|
Qualifier,77,6981,Practice Match,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,39,|Dropped a cargo at the beginning of the round then played defense for the re of the game.|
Qualifier,78,7229,Practice Match,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,false,false,false,64,|Agonisingly slow. Also drops a lot of balls. |
Qualifier,7663,7663,Practice Match,2,1,0,0,0,0,0,5,0,1,1,0,0,1,0,0,false,false,false,85,|Pretty good at base level cargo. Kinda slow. May have potential for ship. Also good at hatches, but a little less good.|
Qualifier,80,100,Practice Match,2,1,0,0,0,0,0,5,0,1,1,1,1,2,0,0,false,false,false,50,|played defense|
Qualifier,81,5419,Practice Match,2,1,0,0,0,0,0,5,0,1,1,2,1,3,0,0,false,false,false,68,|struggles to place hatch panel but can climb to level 3 really fast|
Qualifier,82,5871,Practice Match,1,1,0,0,0,0,0,5,0,1,1,1,1,1,0,0,false,false,false,34,|doesn't do much. the way they grab hatch panels doesn't really work well|
Qualifier,83,2367,Practice Match,2,1,0,0,0,0,0,3,0,1,1,1,1,1,0,0,false,false,false,40,|filled half of ship but then went to get another piece of cargo and then couldn't controlled and kept spinning|
Qualifier,84,2473,Practice Match,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,false,false,false,48,|Kinda bad in all senses.|
Qualifier,85,6657,Practice Match,2,1,0,1,0,0,0,3,0,3,1,1,1,1,0,0,false,false,false,43,|Retardation/10 
They put 2 balls in the same ship cargo hold and also popped a ball.|
Qualifier,86,7870,Practice Match,1,1,0,1,0,2,0,3,6,3,1,4,1,3,0,0,false,false,false,69,|What did you expect? A loss?|
