Qualifier,63,4698,Red 3,2,0,0,0,0,0,1,0,3,1,0,3,1,0,0,0,false,false,false,64,|got ball pout of the way of loading zone well buy was a bit messy with hatch placement|
Qualifier,64,2473,Red 3,1,0,0,0,0,0,1,1,3,1,0,1,2,0,0,0,false,false,false,32,|intake didn't work... yeah pretty bad tbh |
Qualifier,65,5480,Red 3,1,0,0,0,0,0,1,1,3,1,0,1,2,0,0,0,false,false,false,51,|only moves forward in auto... driver seems like they got 2 hours of sleep and are hungover|
Qualifier,67,6474,Red 3,1,1,0,0,0,0,1,2,3,1,0,1,1,0,0,0,false,false,false,50,|fuckin idk they are like meh|
Qualifier,68,3859,Red 3,2,1,0,0,0,0,1,6,3,1,1,1,1,0,0,0,false,false,false,48,|wait they are surprisingly good at cargo in the ship... almost filled the whole thingnalong |
Qualifier,71,6644,Red 3,1,1,0,0,0,0,1,3,3,1,1,1,1,0,0,0,false,false,false,39,|crapbot|
Qualifier,72,2473,Red 3,1,1,0,0,0,1,1,5,3,1,1,1,1,1,0,0,false,false,false,26,|decent cargo bot|
Qualifier,73,5430,Red 3,2,0,0,0,0,1,1,5,3,1,1,1,1,1,0,0,false,false,false,40,|played defense, was OK at it. didn't foul, so good|
Qualifier,73,100,Red 3,2,0,0,0,0,1,1,5,3,1,1,1,1,1,0,0,false,false,false,40,|played defense, was OK at it. didn't foul, so good|
Qualifier,74,100,Red 3,2,0,0,0,0,1,1,5,0,1,1,5,1,0,0,0,false,false,false,64,|failed at climbing HAB 2|
Qualifier,77,3669,Red 3,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,false,false,false,32,|jerky drive trainnpretty slow too|
Qualifier,78,6662,Red 3,1,0,0,0,1,0,1,2,0,0,0,1,2,1,0,0,false,false,false,41,|climber failed and fell on alliance member wtf |
Qualifier,79,6918,Red 3,1,0,0,1,1,0,1,7,0,0,0,1,2,0,0,0,false,false,false,44,|we alrdy kno they r good boiz|
Qualifier,81,5875,Red 3,1,0,0,1,1,0,1,7,0,0,0,1,1,1,0,0,false,false,false,70,|woah hey guys welcome to 2 minute cycle time |
Qualifier,83,701,Red 3,1,0,0,0,0,1,0,3,1,1,0,0,0,1,0,0,false,false,false,55,|p chillin bot but we already knew that lol. failed their hab climb |
Qualifier,84,3482,Red 3,1,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,false,false,false,52,|oof ouch fell over solid memenemememem |
