100,The WildHats
199,Deep Blue
701,RoboVikes
973,Greybots
1056,Hot Rocks
1072,Harker Robotics
1323,MadTown Robotics
1458,Red Tie Robotics
1678,Citrus Circuits
2085,RoboDogs
2141,Spartonics
2204,Rambots
2367,Lancer Robotics
2473,Goldstrikers
2551,Penguin Empire
2839,Daedalus
3013,Zombots
3189,Circuit Breakers
3250,Kennedy Robotics
3257,Vortechs
3482,Arrowbotics
3598,SEStematic Eliminators
3615,Reavers
3669,RoboKnights
3859,Wolfpack Robotics
3880,Tiki Techs
4135,Iron Patriots
4643,Butte Built Bots
4698,Raider Robotics
4904,Bot-Provoking
5027,Event Horizon
5250,Kinetic
5274,Wolverines
5419,Natural Disasters
5430,Pirate Robolution
5458,Digital Minds
5480,FYRE (FIRST Young Robotics Engineers)
5496,Robo Knights
5507,Robotic Eagles
5871,Chickadees
5875,ICE Cubed
5940,B.R.E.A.D.
6174,Kaprekar's Constants
6238,POPCORN PENGUINS
6305,Stable Circuits
6358,The Buhlean Operators
6474,Indigo Dynamics
6612,NexGen Robotics
6619,GravitechX
6644,Atomic Automatons
6657,Arborbotics
6662,FalconX
6883,Leviathan Robotics
6918,Cellar Rats
6981,Clockwork Soldiers
7137,Project 212
7229,Electronic Eagles
7529,Mulan
7663,Sleuth Robotics
7802,Dust Devils
7870,The RoboHawks
